census_year,HEI_code,HEI_name,administrative_structure,academic_status,maintainer_code,headquarters_region,headquarters_state,headquarters_city,institution_type,own_revenue,transferred_revenue,other_revenue,faculty_expenses,staff_expenses,social_contribution_expenses,cost_expenses,investment_expenses,research_expenses,other_expenses
2019,2135,CENTRO UNIVERSITÁRIO CATÓLICA DE QUIXADÁ,private_nonprofit,university_center,15681,2,23,2311306,1,45389435.16,0,1103574.97,12790642.61,7570926.64,9679769.72,8682282.35,164733.8,20800,2345618.06
2019,2137,FACULDADE SÃO MARCOS,private_for_profit,faculty,1408,1,17,1718204,1,38145,35000,0,33000,22800,5788.4,1800,35000,0,20000
2019,2140,FACULDADE NOSSA SENHORA DE LOURDES,private_for_profit,faculty,3657,2,29,2925303,2,875420.2,0,68700.1,302290.63,191512.98,117258.73,228806.22,59058.81,0,21566.68
2019,2141,FACULDADES BATISTA DO PARANÁ,private_nonprofit,faculty,1411,4,41,4106902,2,5891504.32,0,100130.24,1098537.51,1131482.31,1611616.45,1025246.71,85763.39,22795.62,440934.3
2019,2145,FACULDADE PROMOVE DE TECNOLOGIA,private_for_profit,faculty,17160,3,31,3106200,1,52869261.6,0,896311.46,19428241.02,8288194.57,4014441.06,10233749.65,378958.85,568438.28,7579177.01
2019,2146,FACULDADE DO ACRE,private_for_profit,faculty,1404,1,12,1200401,1,109314770.91,0,3247034.66,21151939.49,9464387.5,18158194.99,3658605.29,0,0,31036353.44
2019,2147,Centro Universitário CEUNI - FAMETRO,private_for_profit,university_center,1416,1,13,1302603,1,111611802.56,0,173331.38,18158780.24,4539695.06,9456990,5580590.14,22130962.07,624110.18,45606273.34
2019,2148,FACULDADE DE PALMAS,private_for_profit,faculty,2415,1,17,1721000,1,2305821227.06,0,448153348.67,347194794.26,277230567.88,383647955.06,1590883520.05,18766883.39,0,0
2019,2149,FACULDADE MATO GROSSO DO SUL,private_for_profit,faculty,1308,5,50,5002704,1,13308485.15,0,1460636.84,4151664.89,606386.31,2010332.16,6721454.96,0,0,0
2019,2150,FACULDADE DO PIAUÍ,private_for_profit,faculty,587,2,22,2211001,1,16899986.61,0,1002108.19,5765934.71,1061922.46,2858982.31,9851853.68,0,0,0
2019,2154,INSTITUTO SUPERIOR DE CIÊNCIAS HUMANAS E SOCIAIS ANÍSIO TEIXEIRA,private_for_profit,faculty,1418,3,33,3304904,1,750044.99,0,0,311748.33,57991.22,225542.09,0,0,0,0
2019,2156,FACULDADE SÃO TOMÁS DE AQUINO,private_nonprofit,faculty,14097,2,27,2706307,1,930930.72,0,52369.68,223294.05,187848.89,33977.98,247600.63,1e+05,28000,44482.5
2019,2158,FACULDADE SANTA MARIA,private_for_profit,faculty,1421,2,25,2503704,2,29364660.64,0,0,11376394.47,2099710.46,4184482.7,1133175.36,2900724.16,1127907.33,1291960.15
2019,2160,FACULDADE SANT ANA,private_nonprofit,faculty,1420,4,41,4119905,2,1.1e+07,0,0,1e+07,5e+05,3e+05,0,0,0,0
2019,2163,FACULDADE EUGÊNIO GOMES,private_nonprofit,faculty,16585,2,29,2914000,1,261200,0,0,132600,98600,20000,0,8000,0,0
2019,2165,FACULDADE FOZ DO IGUAÇU,private_for_profit,faculty,611,4,41,4108304,1,12213587.16,0,737611.51,3083016.54,316470.49,1363507.42,7933032.02,0,0,0
2019,2168,FACULDADE CAMPO GRANDE,private_for_profit,faculty,1308,5,50,5002704,1,13308485.15,0,1460636.84,4151664.84,606386.31,2010332.16,6768383.36,0,0,0
2019,2171,INSTITUTO BELO HORIZONTE DE ENSINO SUPERIOR,private_for_profit,faculty,2415,3,31,3106200,1,2305821227.06,0,448153348.67,347194794.26,277230567.88,383647955.06,1590883520.05,18766883.39,0,0
2019,2174,FACULDADE DE SANTA CATARINA,private_for_profit,faculty,847,4,42,4216602,1,12715410.5,0,800812.32,3561922.53,597814.29,1850939.88,7737097.72,0,0,0
2019,2175,CENTRO UNIVERSITÁRIO DANTE,private_for_profit,university_center,821,4,42,4202404,2,36440382.1,0,859174.33,7383424.58,2175681.67,3905126.83,6944836.95,0,0,158195.71
2019,2177,Faculdade Instituto Paulista de Ensino,private_for_profit,faculty,1429,3,35,3534401,2,1378837.43,0,0,536516.28,274564.56,567756.59,0,0,0,0
2019,2180,RATIO - FACULDADE TEOLÓGICA E FILOSÓFICA,private_for_profit,faculty,1431,2,23,2304400,1,3387595.04,0,84856.22,1368145.8,978536.77,338573.72,416694.15,0,0,0
2019,2183,CENTRO UNIVERSITÁRIO FUNDAÇÃO SANTO ANDRÉ,private_nonprofit,university_center,149,3,35,3547809,1,37628073.3,0,463820.71,12523716.99,5224310.2,7507200.43,27144465.91,143079.84,0,2884448.45
